logged_at,decision_time,asset,contract_ticker,close_time,spot,floor_strike,offset_pct,tau_minutes,spread,p_market,p_model_15m,raw_edge,side,decision,z_score,bp_5m,body_5m,dir_5m,vol_ratio,vol_ratio_5m,body_15m,bp_15m,dir_15m,upper_wick_15m,lower_wick_15m,atr_ratio_15m,range_ratio_15m,consec_dir_15m,stoch_k_5m,stoch_k_15m,chg_1m,chg_5m,chg_15m,vwap_dist,ema_bias,ema_bias_1h,ema20_dist_1h,ema50_dist_1h,nearest_res_dist_pct,composite_p_up,realized_vol_annual,vol_ratio_1h,bp_1h,chg_1h,dir_1h,consec_dir_1h,stoch_k_1h,stoch_cross_1h,rsi_1h,macd_hist_1h,donchian_breakout_1h,engulfing_1h,bb_pct_1h,mu6h,mu12h,mu24h,regime_z,arima_forecast_1h,stoch_k_4h,rsi_4h,chg_4h,bp_4h,liq_score,liq_bias,oi_chg_pct,ls_long_pct,fear_greed,cg_composite,kelly_fraction,bet_fraction,bet_amount,bankroll,resolved_yes,would_win,would_pnl,spot_at_expiry,price_move_pct,miss_pct,markov_regime_1h,markov_regime_15m,markov_eth_daily,markov_sol_6h,markov_sol_4h,markov_sol_1h,p_up_v2_btc,z_drift_6h,p_gbdt,autocorr1_15,autocorr1_30,hurst_exponent,ou_theta,ou_halflife,ou_mu_distance,kalman_velocity,kalman_residual,kc_pct_1h,kc_bo_1h,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,vwap_hmm_state,p_up_v3,v3_agree,pup_v3_hmm_state,logged_at_p,cg_ts,cg_state,won,be,tedge,week,kc_pct_5m_r,kc_bo_5m_r,donch_brk_5m_r,donch_pos_5m_r,scross_5m_r,kalman_vel_5m_r,kalman_res_5m_r,hurst_5m_r,ou_theta_5m_r,kc_pct_15m_r,kc_bo_15m_r,donch_brk_15m_r,donch_pos_15m_r,scross_15m_r,kalman_vel_15m_r,kalman_res_15m_r,hurst_15m_r,ou_theta_15m_r,arima_15m_r,arima_1h_r,stoch_k_4h_r,rsi_4h_r,garch_r,macro_bull_r,macro_sideways_r,macro_bear_r,ms_state_r,vd_state_r,vw_ts,vwap_state_r,p_up_v3_r
2026-05-27 11:06:00.633526+00:00,2026-05-27T11:06:00.620696+00:00,BTC,KXBTC15M-26MAY270715-15,2026-05-27 11:15:00+00:00,75843.8938,75816.74,0.0358,8.99,0.01,0.815,0.8852,0.0702,yes,trade,-0.4993,0.9822,0.9822,1.0,0.105,1.0,1.0,1.0,1,0.0,0.0,0.001256,0.6983,2.0,78.76,79.34,0.0363,0.0465,0.0914,0.1056,1,,0.1104,,999.0,,0.1734,,0.5149,0.0513,1,2.0,76.99,0.0,45.83,,,0,0.629,0.0007899,0.000235,8.59e-05,0.1143,,,,0.4021,1.0,-1.0,-1.0,0.0476,59.37,26.0,0.0,0.3793,0.03,30.15,1000.0,1.0,1.0,6.84,75987.0,0.1887,0.2246,Sideways,Sideways,Bear,Bear,Sideways,Sideways,,2.2848,,-0.0170350181315054,-0.1112002200749724,0.4779,2.183981,0.3174,0.177,-5.5e-05,-1e-06,0.5296,0.0,141413.11,-110294758.66680002,0.8890490819481244,-138520323.60829985,,,,,2026-05-27 11:06:00.633526+00:00,2026-05-27 11:00:00+00:00,3,True,0.815,0.185,2026-05-23/2026-05-29,0.9714002769154033,0,0,0.9411248659713317,0,0.00026080998395862983,-1.12121178849579e-06,0.5550036025200156,2.7395046438917534,0.7558028805971237,0,0,0.8127959994116783,1,0.0006208593592889533,9.28008026749032e-06,0.7972215236929096,2.210784394955676,-0.0002701880762935771,-0.00010660402652026061,5.450906880129514,35.16235999266344,0.5720626218326408,0.9999999956365428,4.363168239215904e-09,2.867856801059212e-13,7,0,2026-05-27 11:06:00+00:00,7.0,0.5131797581231202
2026-05-27 11:21:10.786511+00:00,2026-05-27T11:21:10.777929+00:00,BTC,KXBTC15M-26MAY270730-30,2026-05-27 11:30:00+00:00,75883.3463,75854.38,0.0382,8.82,0.01,0.825,0.8915,0.0665,yes,trade,-0.5254,0.0,1.0,-1.0,0.063,1.0,0.8263,0.8263,1,0.1737,0.0,0.001212,0.5512,-1.0,47.02,67.25,0.0,-0.0567,-0.0622,0.0466,-1,,0.1104,,999.0,,0.1774,,0.5149,0.0513,1,2.0,76.99,1.0,45.83,,,0,0.629,0.0007899,0.000235,8.59e-05,0.1143,,,,0.4021,1.0,1.0,1.0,0.0107,59.4,26.0,0.0,0.3798,0.03,29.7,1000.0,0.0,0.0,-29.7,75935.28,0.0684,0.1067,Sideways,Sideways,Bear,Bear,Sideways,Sideways,,2.3345,,-0.0170350181315054,-0.1112002200749724,0.4779,2.183981,0.3174,0.177,-5.5e-05,-1e-06,0.5296,0.0,141413.11,-110294758.66680002,0.8890490819481244,-138520323.60829985,,,,,2026-05-27 11:21:10.786511+00:00,2026-05-27 11:00:00+00:00,3,False,0.825,-0.825,2026-05-23/2026-05-29,0.6830455109632789,0,0,0.7398223252221415,1,0.00046642465935881625,2.320197713379774e-05,0.6080139964475809,2.5207703348340287,0.842256607977967,0,0,0.9404030004412562,0,2.906789134774141e-05,-4.570069841711372e-05,0.7782314175796606,2.326743214478141,-0.0003452819115610777,-0.00010660402652026061,5.450906880129514,35.16235999266344,0.5720626218326408,0.9999999956365428,4.363168239215904e-09,2.867856801059212e-13,7,0,2026-05-27 11:21:10+00:00,5.0,0.5131797581231202
2026-06-08 16:05:39.584559+00:00,2026-06-08T16:05:39.566294+00:00,BTC,KXBTC15M-26JUN081215-15,2026-06-08 16:15:00+00:00,63828.7912,63717.24,0.1751,9.34,0.01,0.775,0.852,0.077,yes,trade,-0.5295,0.9752,0.9752,1.0,0.261,1.0,0.0951,0.2142,-1,0.6907,0.2142,0.004696,0.943,1.0,37.58,61.25,0.0119,0.2938,0.0184,-0.0196,1,,0.6071,,999.0,,0.7835,,0.1337,-0.2166,-1,-1.0,77.9,-1.0,59.98,,,0,0.8162,0.0008555,0.0008889,0.0005059,0.1987,,50.0,50.0,0.518,0.7374,-1.0,-0.9917,0.0829,63.32,9.0,2.0,0.3422,0.0274,27.12,1000.0,1.0,1.0,7.87,63838.29,0.0149,0.19,Bull,Bull,Bear,Bear,Sideways,Bull,,0.6551,0.8568,-0.1665868330980384,-0.2500854383820116,0.5305,1.741663,0.398,-0.6066,-0.001414,-0.0014,0.6672,0.0,-176864.42,-193082762.65980005,0.8741600178539025,-182590207.3859,,,,,2026-06-08 16:05:39.584559+00:00,2026-06-08 16:00:00+00:00,3,True,0.775,0.2249999999999999,2026-06-06/2026-06-12,0.36313122971322687,0,0,0.28453376459451685,1,0.00012116970510848925,-8.576965366853865e-05,0.6530841862212489,2.380563971181719,0.4919531571539623,0,0,0.7572301888811586,0,0.0008034646635194101,0.00024062684457557492,0.4791213146762688,4.991894288619555,0.0001761256293767569,-0.000210423827963285,90.18916176559458,61.543943109432384,0.9736321857976931,1.6936969354690395e-09,0.9996785084757634,0.00032148983056514227,6,5,2026-06-08 15:55:30+00:00,2.0,0.5365729611444082
2026-06-08 16:20:49.627443+00:00,2026-06-08T16:20:49.612355+00:00,BTC,KXBTC15M-26JUN081230-30,2026-06-08 16:30:00+00:00,63900.0587,63790.09,0.1724,9.18,0.01,0.865,0.9108,0.0458,yes,trade,-0.8397,0.719,0.719,1.0,0.103,1.0,0.6789,0.6789,1,0.3211,0.0,0.004315,0.7688,2.0,50.66,69.37,0.0,0.1557,0.0974,0.0775,1,,0.6071,,999.0,,0.4908,,0.1337,-0.2166,-1,-1.0,77.9,-1.0,59.98,,,0,0.8162,0.0008555,0.0008889,0.0005059,0.1987,,50.0,50.0,0.518,0.7374,1.0,1.0,0.0868,63.48,9.0,2.0,0.3391,0.0271,26.82,1000.0,1.0,1.0,4.19,63859.8,-0.063,0.1093,Bull,Bull,Bear,Bear,Sideways,Bull,,0.7028,0.9201,-0.1665868330980384,-0.2500854383820116,0.5305,1.741663,0.398,-0.6066,-0.001414,-0.0014,0.6672,0.0,-176864.42,-193082762.65980005,0.8741600178539025,-182590207.3859,,,,,2026-06-08 16:20:49.627443+00:00,2026-06-08 16:00:00+00:00,3,True,0.865,0.135,2026-06-06/2026-06-12,0.6800027223816248,0,0,0.5741558851372714,0,0.00021874183611753572,-8.85021199279047e-05,0.5936625232401708,2.6699864326663842,0.5621178692820662,0,0,0.8006648295788968,1,0.0007989410737506808,-1.5929914526362655e-06,0.4483804825592491,6.375966787233018,0.0001796836360541812,-0.000210423827963285,90.18916176559458,61.543943109432384,0.9736321857976931,1.6936969354690395e-09,0.9996785084757634,0.00032148983056514227,6,5,2026-06-08 16:20:48+00:00,2.0,0.5365729611444082
2026-06-11 14:51:00.054083+00:00,2026-06-11T14:51:00.038989+00:00,BTC,KXBTC15M-26JUN111100-00,2026-06-11 15:00:00+00:00,62859.7812,62829.83,0.0477,9.0,0.01,0.655,0.7928,0.1378,yes,trade,-0.2283,0.8701,0.3028,1.0,0.048,1.0,0.9302,0.0,-1,0.0698,0.0,0.003585,0.7513,1.0,34.58,49.93,0.0,0.0161,-0.0168,-0.0087,-1,,0.9117,,999.0,,0.5044,,0.6656,0.0912,1,1.0,88.18,,82.36,,,0,0.7198,0.0009175,0.0011066,0.0017806,0.3166,,,,0.6488,0.7377,0.0,0.0,-0.0966,61.38,13.0,2.0,0.3994,0.032,32.09,1000.0,0.0,0.0,-32.09,62709.45,-0.2392,-0.1916,Bull,Sideways,Bear,Bull,Sideways,Bull,,1.0458,0.7611,,,,,,,,,0.4255,0.0,-20235.39,-28112758.4902997,0.9902441697783914,319332909.2579,,,,,2026-06-11 14:51:00.054083+00:00,2026-06-11 14:00:00+00:00,3,False,0.655,-0.655,2026-06-06/2026-06-12,0.6646241352497538,0,0,0.529348280183813,1,0.0005856059381710407,-3.3223387584819034e-05,0.38413518304037453,2.984273393900905,0.2617876602811216,0,0,0.2545329186715096,0,-0.0005402319681386675,0.00018103386383305667,0.6744669237041301,2.445000436833909,0.000619773882185969,-0.0007045781477681124,82.34469111134581,55.043601566968505,0.7086246451802536,0.0017607540349402703,0.0001388983198192134,0.9981003476452438,1,1,2026-06-11 14:51:00+00:00,3.0,0.5430549753888685
2026-06-12 05:18:29.919224+00:00,2026-06-12T05:18:29.903439+00:00,BTC,KXBTC15M-26JUN120130-30,2026-06-12 05:30:00+00:00,63431.6112,63368.16,0.1001,11.51,0.01,0.815,0.9086,0.0936,yes,trade,-0.7349,0.2297,0.7703,-1.0,0.778,1.0,0.8815,0.1185,-1,0.0,0.1185,0.002185,1.9823,1.0,24.51,30.66,0.0184,0.1297,-0.1887,-0.1864,-1,,0.5128,,0.0512,,0.2911,,0.6591,0.2789,1,1.0,86.57,0.0,67.63,,,1,0.7471,0.0003712,0.0014674,0.0006662,0.1581,,,,-0.1315,0.4243,-1.0,-1.0,-0.9451,60.71,13.0,1.0,0.5062,0.0405,20.38,1000.0,1.0,1.0,4.63,63487.23,0.0877,0.1879,Bull,Sideways,Bear,Bull,Sideways,Bull,,1.3368,0.8568,,,,,,,,,0.6874,0.0,-258984.37,-189987493.53100017,0.8833281413388968,-173327892.22920024,,,,,2026-06-12 05:18:29.919224+00:00,2026-06-12 05:00:00+00:00,3,True,0.815,0.185,2026-06-06/2026-06-12,0.13045217345956528,0,0,0.2450704225352184,1,0.001500794089005374,0.00010583272653578481,0.4901029651306041,1.2570420007129368,0.3152472838523456,0,0,0.3588152967432044,0,0.0009175463410239786,0.0007640999967255466,0.5093699504201933,5.703295679857071,0.0004233647991466531,-0.0008286769680435115,90.86839436225655,59.158746821536404,0.8078381348117836,0.0017956058325219316,8.444350842334613e-05,0.9981199506590561,6,1,2026-06-12 05:08:24+00:00,3.0,0.5168789883674779
2026-06-12 12:18:18.927813+00:00,2026-06-12T12:18:18.913165+00:00,BTC,KXBTC15M-26JUN120830-30,2026-06-12 12:30:00+00:00,63584.2688,63564.15,0.0317,11.69,0.01,0.615,0.7789,0.1639,yes,trade,-0.2331,0.2475,0.7525,-1.0,0.007,1.0,0.8611,0.0762,-1,0.0627,0.0762,0.004049,0.5334,-4.0,87.43,83.88,0.0241,-0.003,-0.1716,0.0586,-1,,0.3657,,999.0,,0.2879,,0.9423,0.121,1,1.0,90.98,0.0,55.7,,,1,0.8026,0.0010585,0.0002295,0.0001656,0.1873,,50.0,50.0,1.0085,0.9098,-1.0,-0.9605,0.0161,59.87,13.0,1.0,0.4257,0.0341,33.83,1000.0,0.0,0.0,-33.83,63487.29,-0.1525,-0.1209,Bull,Bull,Bear,Sideways,Sideways,Bull,,1.3333,0.7765,,,,,,,,,0.7246,0.0,-312425.54,43306657.8840003,1.018951395642585,-52764351.531699896,,,,,2026-06-12 12:18:18.927813+00:00,2026-06-12 12:00:00+00:00,3,False,0.615,-0.615,2026-06-06/2026-06-12,0.1777438665351085,0,0,0.13226247436774224,1,0.0005633707249443141,1.649040984608353e-05,0.643991770971202,2.8055216347883474,0.031422190997947595,0,0,0.4980311679653287,0,-0.0008162311756304294,2.959237302751442e-05,0.5083968074530545,2.4658679451264427,0.0006072949291060991,-0.0005710887944642131,88.11074562203227,57.07568637663001,0.809405319405896,0.0003804711978459151,8.516290990689039e-05,0.9995343658922498,7,1,2026-06-12 12:18:18+00:00,3.0,0.5140801227669983
2026-06-12 12:33:29.469643+00:00,2026-06-12T12:33:29.449799+00:00,BTC,KXBTC15M-26JUN120845-45,2026-06-12 12:45:00+00:00,63462.4413,63406.74,0.0878,11.51,0.01,0.715,0.8509,0.1359,yes,trade,-0.4959,0.0,1.0,-1.0,0.078,1.0,0.8065,0.0,-1,0.1935,0.0,0.004185,0.759,1.0,80.98,77.69,0.006,0.0261,-0.2157,-0.129,-1,,0.3657,,0.052,,0.3784,,0.9423,0.121,1,1.0,90.98,0.0,55.7,,,1,0.8026,0.0010585,0.0002295,0.0001656,0.1873,,50.0,50.0,1.0085,0.9098,-1.0,-0.9748,-0.1209,60.05,13.0,1.0,0.477,0.0382,19.3,1000.0,0.0,0.0,-19.3,63427.48,-0.0551,0.0327,Bull,Bull,Bear,Sideways,Sideways,Bull,,1.3051,0.8568,,,,,,,,,0.7246,0.0,-312425.54,43306657.8840003,1.018951395642585,-52764351.531699896,,,,,2026-06-12 12:33:29.469643+00:00,2026-06-12 12:00:00+00:00,3,False,0.715,-0.715,2026-06-06/2026-06-12,0.08039478403506445,0,0,0.15753160281772235,1,0.001409826200215358,0.00012308128509022935,0.8892062933299143,2.9820883978985875,0.11523917554200612,0,0,0.49970641894016976,0,0.0010102496083974526,0.00033489340676496606,0.5201319929958994,2.490355883426996,0.0004524807774187051,-0.0005710887944642131,88.11074562203227,57.07568637663001,0.809405319405896,0.0003804711978459151,8.516290990689039e-05,0.9995343658922498,7,1,2026-06-12 12:23:18+00:00,3.0,0.5140801227669983
2026-06-12 12:48:40.537615+00:00,2026-06-12T12:48:40.515504+00:00,BTC,KXBTC15M-26JUN120900-00,2026-06-12 13:00:00+00:00,63428.8463,63373.35,0.0876,11.33,0.01,0.705,0.8489,0.1439,yes,trade,-0.5186,0.874,0.828,1.0,0.012,1.0,0.0768,0.4242,-1,0.499,0.4242,0.004185,0.4294,2.0,79.31,76.09,0.0075,0.0065,-0.0853,-0.1756,-1,,0.4307,,0.1009,,0.3636,,0.9423,0.121,1,1.0,90.98,,55.7,,,1,0.8013,0.0010585,0.0002295,0.000391,0.2016,,,,1.0085,0.9098,-1.0,-0.9922,-0.1355,60.03,13.0,1.0,0.4877,0.039,19.74,1000.0,1.0,1.0,8.26,63469.63,0.0643,0.1519,Bull,Bull,Bear,Sideways,Sideways,Bull,,1.2795,0.8401,,,,,,,,,0.4243,0.0,-497223.33,43306657.8840003,1.018951395642585,-52764351.531699896,,,,,2026-06-12 12:48:40.537615+00:00,2026-06-12 12:00:00+00:00,3,True,0.705,0.295,2026-06-06/2026-06-12,0.21773155427514718,0,0,0.18984803244350754,1,0.0005268042952022495,3.1926365106591166e-05,0.7820484958129676,3.2332987289929465,0.1399123051029962,0,0,0.3821927073725614,1,0.00042350745431616536,-0.00010761775284149093,0.5704949591847887,2.522106014476802,0.00023248859911019476,-0.0005710887944642131,88.11074562203227,57.07568637663001,0.809405319405896,0.0003804711978459151,8.516290990689039e-05,0.9995343658922498,7,1,2026-06-12 12:38:30+00:00,0.0,0.5140801227669983
2026-06-12 18:33:23.105263+00:00,2026-06-12T18:33:23.098009+00:00,BTC,KXBTC15M-26JUN121445-45,2026-06-12 18:45:00+00:00,63755.3287,63737.95,0.0273,11.62,0.01,0.535,0.7272,0.1922,yes,trade,-0.1594,0.9842,0.9842,1.0,0.436,1.0,0.2718,0.6452,-1,0.0831,0.6452,0.003676,0.6837,1.0,51.75,34.67,0.1277,0.1171,0.1236,-0.0652,1,,0.3865,,999.0,,0.3638,,0.1959,-0.224,-1,-1.0,76.68,0.0,53.74,,,0,0.7397,0.0001325,0.0005955,0.0004096,0.0984,,,,-0.3117,0.3847,0.0,0.0,-0.0488,60.11,13.0,1.0,0.4132,0.0331,33.17,1000.0,1.0,1.0,28.83,63862.67,0.1684,0.1957,Sideways,Bull,Bear,Sideways,Sideways,Sideways,,0.5665,0.7611,,,,,,,,,0.615,0.0,-201114.3,79861606.96590018,1.0641817708564862,217084748.9652004,,,,,2026-06-12 18:33:23.105263+00:00,2026-06-12 18:00:00+00:00,3,True,0.535,0.4649999999999999,2026-06-06/2026-06-12,0.45844989174409295,0,0,0.2199547089383189,0,0.0003182832642692404,-7.201260378794682e-05,0.7975603513297003,1.9885645872922149,0.5514385685936641,0,0,0.584018735662501,1,0.001070273849640774,0.0005423387107608966,0.6294487544539863,1.4098103884934532,0.0003625335279088532,-0.0003299320016704874,96.48986960350075,60.8434642101841,0.9361120121055793,0.0016394302339510995,8.991145750491324e-05,0.9982706583085437,6,1,2026-06-12 18:23:18+00:00,3.0,0.5440967072469484
