decision_time,contract_ticker,side,p_market,resolved_yes,bet_amount,would_pnl,src,effective,dir15,want,action,wait_pnl,delta,episode
2026-05-18 00:00:00+00:00,KXBTCD-26MAY1721-T76999.99,no,0.55,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 00:00:00+00:00,0,-1,missed,0.0,50.0,1
2026-05-18 01:00:00+00:00,KXBTCD-26MAY1722-T76999.99,yes,0.66,True,50.0,25.76,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 01:00:00+00:00,0,1,missed,0.0,-25.76,1
2026-05-18 02:00:00+00:00,KXBTCD-26MAY1723-T76899.99,yes,0.72,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 02:00:00+00:00,-1,1,missed,0.0,50.0,1
2026-05-18 05:00:00+00:00,KXBTCD-26MAY1802-T76899.99,yes,0.56,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 05:00:00+00:00,-1,1,missed,0.0,50.0,2
2026-05-18 06:00:00+00:00,KXBTCD-26MAY1803-T76799.99,yes,0.51,True,50.0,48.04,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 06:00:00+00:00,0,1,missed,0.0,-48.04,2
2026-05-18 07:00:00+00:00,KXBTCD-26MAY1804-T76899.99,yes,0.51,True,50.0,48.04,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 07:00:00+00:00,-1,1,missed,0.0,-48.04,2
2026-05-18 08:00:00+00:00,KXBTCD-26MAY1805-T77099.99,yes,0.51,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 08:00:00+00:00,-1,1,missed,0.0,50.0,2
2026-05-18 13:00:00+00:00,KXBTCD-26MAY1810-T77299.99,yes,0.7,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 13:00:00+00:00,-1,1,missed,0.0,50.0,3
2026-05-18 14:00:00+00:00,KXBTCD-26MAY1811-T76799.99,no,0.39,False,50.0,31.97,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 14:00:00+00:00,1,-1,missed,0.0,-31.97,3
2026-05-18 15:00:00+00:00,KXBTCD-26MAY1812-T76299.99,no,0.33,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 15:00:00+00:00,1,-1,missed,0.0,50.0,3
2026-05-18 16:00:00+00:00,KXBTCD-26MAY1813-T76599.99,no,0.21,False,50.0,13.29,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 16:00:00+00:00,1,-1,missed,0.0,-13.29,3
2026-05-18 21:00:00+00:00,KXBTCD-26MAY1818-T76599.99,no,0.88,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 21:00:00+00:00,1,-1,missed,0.0,50.0,4
2026-05-18 22:00:00+00:00,KXBTCD-26MAY1819-T76999.99,no,0.7,True,23.8,-23.8,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 22:00:00+00:00,-1,-1,unchanged,-23.8,0.0,4
2026-05-19 00:00:00+00:00,KXBTCD-26MAY1821-T76999.99,no,0.74,True,39.71,-39.71,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 00:00:00+00:00,1,-1,re-entered,-57.27,-17.560000000000002,5
2026-05-19 01:00:00+00:00,KXBTCD-26MAY1822-T76999.99,no,0.67,False,31.42,63.79,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 01:00:00+00:00,0,-1,missed,0.0,-63.79,5
2026-05-19 09:00:00+00:00,KXBTCD-26MAY1906-T76999.99,no,0.22,False,50.0,14.1,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 09:00:00+00:00,0,-1,missed,0.0,-14.1,6
2026-05-19 12:00:00+00:00,KXBTCD-26MAY1909-T76799.99,no,0.37,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 12:00:00+00:00,1,-1,re-entered,-49.21,0.7899999999999991,7
2026-05-19 13:00:00+00:00,KXBTCD-26MAY1910-T76999.99,no,0.3,False,50.0,21.43,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 13:00:00+00:00,-1,-1,unchanged,21.43,0.0,7
2026-05-19 13:00:00+00:00,KXBTCD-26MAY1910-T77099.99,no,0.2,False,50.0,12.5,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 13:00:00+00:00,-1,-1,unchanged,12.5,0.0,7
2026-05-19 13:00:00+00:00,KXBTCD-26MAY1910-T76899.99,no,0.26,False,50.0,17.57,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 13:00:00+00:00,-1,-1,unchanged,17.57,0.0,7
2026-05-19 14:00:00+00:00,KXBTCD-26MAY1911-T76999.99,no,0.22,False,50.0,14.1,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 14:00:00+00:00,-1,-1,unchanged,14.1,0.0,7
2026-05-19 14:00:00+00:00,KXBTCD-26MAY1911-T76899.99,no,0.28,False,50.0,19.44,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 14:00:00+00:00,-1,-1,unchanged,19.44,0.0,7
2026-05-19 14:00:00+00:00,KXBTCD-26MAY1911-T77099.99,no,0.23,False,50.0,14.94,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 14:00:00+00:00,-1,-1,unchanged,14.94,0.0,7
2026-05-19 15:00:00+00:00,KXBTCD-26MAY1912-T76399.99,no,0.53,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 15:00:00+00:00,1,-1,re-entered,-25.0,25.0,7
2026-05-19 17:00:00+00:00,KXBTCD-26MAY1914-T76799.99,yes,0.63,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 17:00:00+00:00,-1,1,missed,0.0,50.0,8
2026-05-19 17:00:00+00:00,KXBTCD-26MAY1914-T76899.99,yes,0.48,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 17:00:00+00:00,-1,1,missed,0.0,50.0,8
2026-05-19 19:00:00+00:00,KXBTCD-26MAY1917-T76749.99,yes,0.62,True,50.0,30.65,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 19:00:00+00:00,0,1,re-entered,31.05,0.40000000000000213,9
2026-05-19 21:00:00+00:00,KXBTCD-26MAY1918-T76799.99,no,0.79,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 21:00:00+00:00,-1,-1,unchanged,-50.0,0.0,10
2026-05-19 21:00:00+00:00,KXBTCD-26MAY1918-T76899.99,no,0.68,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 21:00:00+00:00,-1,-1,unchanged,-50.0,0.0,10
2026-05-19 22:00:00+00:00,KXBTCD-26MAY1919-T76599.99,no,0.71,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 22:00:00+00:00,-1,-1,unchanged,-50.0,0.0,10
2026-05-19 23:00:00+00:00,KXBTCD-26MAY1921-T76599.99,no,0.91,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 23:00:00+00:00,1,-1,missed,0.0,50.0,10
2026-05-19 23:00:00+00:00,KXBTCD-26MAY1920-T76799.99,no,0.82,False,50.0,227.78,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 23:00:00+00:00,1,-1,re-entered,87.5,-140.28,10
2026-05-19 23:00:00+00:00,KXBTCD-26MAY1920-T76599.99,no,0.88,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 23:00:00+00:00,1,-1,re-entered,-43.75,6.25,10
2026-05-19 23:00:00+00:00,KXBTCD-26MAY1920-T76699.99,no,0.71,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-19 23:00:00+00:00,1,-1,re-entered,-61.21,-11.21,10
2026-05-20 03:00:00+00:00,KXBTCD-26MAY2000-T76499.99,no,0.78,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 03:00:00+00:00,1,-1,re-entered,-21.59,28.41,11
2026-05-20 04:00:00+00:00,KXBTCD-26MAY2001-T76599.99,no,0.86,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 04:00:00+00:00,1,-1,re-entered,-51.79,-1.7899999999999991,11
2026-05-20 05:00:00+00:00,KXBTCD-26MAY2002-T76599.99,no,0.87,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 05:00:00+00:00,0,-1,missed,0.0,50.0,11
2026-05-20 07:00:00+00:00,KXBTCD-26MAY2004-T77199.99,no,0.51,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 07:00:00+00:00,-1,-1,unchanged,-50.0,0.0,12
2026-05-20 07:00:00+00:00,KXBTCD-26MAY2005-T77099.99,no,0.73,True,27.78,-27.78,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 07:00:00+00:00,-1,-1,unchanged,-27.78,0.0,12
2026-05-20 08:00:00+00:00,KXBTCD-26MAY2005-T77199.99,no,0.41,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 08:00:00+00:00,1,-1,re-entered,-40.68,9.32,12
2026-05-20 09:00:00+00:00,KXBTCD-26MAY2006-T77399.99,no,0.34,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 09:00:00+00:00,0,-1,re-entered,-26.89,23.11,12
2026-05-20 15:00:00+00:00,KXBTCD-26MAY2012-T77499.99,yes,0.48,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 15:00:00+00:00,-1,1,re-entered,-76.04,-26.040000000000006,13
2026-05-20 19:00:00+00:00,KXBTCD-26MAY2017-T77749.99,no,0.25,False,45.7,15.23,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 19:00:00+00:00,0,-1,re-entered,12.49,-2.74,14
2026-05-20 20:00:00+00:00,KXBTCD-26MAY2017-T77499.99,no,0.74,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 20:00:00+00:00,-1,-1,unchanged,-50.0,0.0,14
2026-05-20 21:00:00+00:00,KXBTCD-26MAY2018-T77699.99,yes,0.28,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 21:00:00+00:00,-1,1,re-entered,-9.82,40.18,14
2026-05-20 23:00:00+00:00,KXBTCD-26MAY2020-T77299.99,no,0.71,True,36.52,-36.52,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-20 23:00:00+00:00,-1,-1,unchanged,-36.52,0.0,15
2026-05-21 21:00:00+00:00,KXBTCD-26MAY2118-T77599.99,no,0.74,False,43.73,124.46,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-21 21:00:00+00:00,0,-1,re-entered,130.35,5.890000000000001,16
2026-05-21 22:00:00+00:00,KXBTCD-26MAY2119-T77499.99,no,0.71,True,42.85,-42.85,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-21 22:00:00+00:00,1,-1,missed,0.0,42.85,16
2026-05-22 00:00:00+00:00,KXBTCD-26MAY2121-T77399.99,no,0.74,False,38.25,108.87,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 00:00:00+00:00,1,-1,missed,0.0,-108.87,17
2026-05-22 01:00:00+00:00,KXBTCD-26MAY2122-T77299.99,no,0.74,True,31.31,-31.31,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 01:00:00+00:00,1,-1,re-entered,-4.21,27.099999999999998,17
2026-05-22 02:00:00+00:00,KXBTCD-26MAY2123-T77499.99,no,0.75,True,28.93,-28.93,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 02:00:00+00:00,-1,-1,unchanged,-28.93,0.0,17
2026-05-22 04:00:00+00:00,KXBTCD-26MAY2201-T77599.99,yes,0.44,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 04:00:00+00:00,-1,1,re-entered,-71.02,-21.019999999999996,18
2026-05-22 08:00:00+00:00,KXBTCD-26MAY2205-T77299.99,no,0.7,False,50.0,116.67,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 08:00:00+00:00,0,-1,re-entered,140.83,24.16000000000001,19
2026-05-22 08:00:00+00:00,KXBTCD-26MAY2205-T77199.99,no,0.72,False,50.0,128.57,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 08:00:00+00:00,0,-1,re-entered,173.21,44.640000000000015,19
2026-05-22 08:00:00+00:00,KXBTCD-26MAY2205-T77499.99,no,0.35,False,50.0,26.92,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 08:00:00+00:00,0,-1,re-entered,15.77,-11.150000000000002,19
2026-05-22 10:00:00+00:00,KXBTCD-26MAY2207-T77299.99,no,0.3,False,50.0,21.43,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 10:00:00+00:00,-1,-1,unchanged,21.43,0.0,20
2026-05-22 11:00:00+00:00,KXBTCD-26MAY2208-T77299.99,no,0.36,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 11:00:00+00:00,0,-1,re-entered,-58.98,-8.979999999999997,20
2026-05-22 11:00:00+00:00,KXBTCD-26MAY2208-T77199.99,no,0.83,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 11:00:00+00:00,0,-1,re-entered,-101.47,-51.47,20
2026-05-22 12:00:00+00:00,KXBTCD-26MAY2209-T77299.99,no,0.74,True,35.83,-35.83,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 12:00:00+00:00,-1,-1,unchanged,-35.83,0.0,20
2026-05-22 13:00:00+00:00,KXBTCD-26MAY2210-T77199.99,no,0.71,False,37.1,90.83,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 13:00:00+00:00,-1,-1,unchanged,90.83,0.0,20
2026-05-22 15:00:00+00:00,KXBTCD-26MAY2212-T76999.99,no,0.23,False,22.93,6.85,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-22 15:00:00+00:00,1,-1,missed,0.0,-6.85,21
2026-05-23 02:00:00+00:00,KXBTCD-26MAY2223-T75499.99,no,0.26,False,50.0,17.57,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-23 02:00:00+00:00,0,-1,missed,0.0,-17.57,22
